replay_id,as_of_date,symbol,display_name,candidate_rank,left_score,kline_path,notes
2025-04-03_510300_RECONSTRUCTED,2025-04-03,510300,沪深300ETF,5,0.515,E:/AETF-ModelLab/data/real/normalized/kline/510300.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07_159937_RECONSTRUCTED,2025-04-07,159937,黄金ETF,1,0.735,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07_159928_RECONSTRUCTED,2025-04-07,159928,消费ETF,2,0.69,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07_512800_RECONSTRUCTED,2025-04-07,512800,银行ETF,3,0.685,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07_512690_RECONSTRUCTED,2025-04-07,512690,酒ETF,4,0.65,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07_510050_RECONSTRUCTED,2025-04-07,510050,上证50ETF,5,0.565,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08_159937_RECONSTRUCTED,2025-04-08,159937,黄金ETF,1,0.735,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08_159928_RECONSTRUCTED,2025-04-08,159928,消费ETF,2,0.715,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08_512690_RECONSTRUCTED,2025-04-08,512690,酒ETF,3,0.7000000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08_510050_RECONSTRUCTED,2025-04-08,510050,上证50ETF,4,0.65,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08_512800_RECONSTRUCTED,2025-04-08,512800,银行ETF,5,0.6200000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09_159937_RECONSTRUCTED,2025-04-09,159937,黄金ETF,1,0.735,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09_512690_RECONSTRUCTED,2025-04-09,512690,酒ETF,2,0.715,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09_159928_RECONSTRUCTED,2025-04-09,159928,消费ETF,3,0.705,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09_510050_RECONSTRUCTED,2025-04-09,510050,上证50ETF,4,0.6050000000000001,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09_512800_RECONSTRUCTED,2025-04-09,512800,银行ETF,5,0.545,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10_159937_RECONSTRUCTED,2025-04-10,159937,黄金ETF,1,0.74,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10_159928_RECONSTRUCTED,2025-04-10,159928,消费ETF,2,0.715,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10_512690_RECONSTRUCTED,2025-04-10,512690,酒ETF,3,0.715,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10_510050_RECONSTRUCTED,2025-04-10,510050,上证50ETF,4,0.555,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10_159992_RECONSTRUCTED,2025-04-10,159992,创新药ETF,5,0.545,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11_159937_RECONSTRUCTED,2025-04-11,159937,黄金ETF,1,0.74,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11_159928_RECONSTRUCTED,2025-04-11,159928,消费ETF,2,0.67,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11_512690_RECONSTRUCTED,2025-04-11,512690,酒ETF,3,0.6649999999999999,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11_159992_RECONSTRUCTED,2025-04-11,159992,创新药ETF,4,0.6100000000000001,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11_512480_RECONSTRUCTED,2025-04-11,512480,半导体ETF,5,0.585,E:/AETF-ModelLab/data/real/normalized/kline/512480.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14_159937_RECONSTRUCTED,2025-04-14,159937,黄金ETF,1,0.75,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14_159928_RECONSTRUCTED,2025-04-14,159928,消费ETF,2,0.6450000000000001,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14_159992_RECONSTRUCTED,2025-04-14,159992,创新药ETF,3,0.635,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14_512480_RECONSTRUCTED,2025-04-14,512480,半导体ETF,4,0.5900000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512480.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14_510050_RECONSTRUCTED,2025-04-14,510050,上证50ETF,5,0.5750000000000001,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15_159937_RECONSTRUCTED,2025-04-15,159937,黄金ETF,1,0.77,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15_159928_RECONSTRUCTED,2025-04-15,159928,消费ETF,2,0.665,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15_159992_RECONSTRUCTED,2025-04-15,159992,创新药ETF,3,0.615,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15_512690_RECONSTRUCTED,2025-04-15,512690,酒ETF,4,0.5999999999999999,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15_510050_RECONSTRUCTED,2025-04-15,510050,上证50ETF,5,0.5750000000000001,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16_159937_RECONSTRUCTED,2025-04-16,159937,黄金ETF,1,0.7899999999999999,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16_159928_RECONSTRUCTED,2025-04-16,159928,消费ETF,2,0.6750000000000002,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16_510050_RECONSTRUCTED,2025-04-16,510050,上证50ETF,3,0.64,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16_512800_RECONSTRUCTED,2025-04-16,512800,银行ETF,4,0.625,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16_512690_RECONSTRUCTED,2025-04-16,512690,酒ETF,5,0.58,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17_159937_RECONSTRUCTED,2025-04-17,159937,黄金ETF,1,0.7899999999999999,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17_159928_RECONSTRUCTED,2025-04-17,159928,消费ETF,2,0.7100000000000001,E:/AETF-ModelLab/data/real/normalized/kline/159928.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17_512690_RECONSTRUCTED,2025-04-17,512690,酒ETF,3,0.6650000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17_512800_RECONSTRUCTED,2025-04-17,512800,银行ETF,4,0.65,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17_510050_RECONSTRUCTED,2025-04-17,510050,上证50ETF,5,0.6350000000000001,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
