as_of_date,symbol,display_name,candidate_rank,left_score,notes
2025-05-06,512480,半导体ETF,3,0.635,reconstructed_candidate_history_not_real_left_snapshot
2025-05-06,588000,科创50ETF,4,0.62,reconstructed_candidate_history_not_real_left_snapshot
2025-05-06,510050,上证50ETF,5,0.6,reconstructed_candidate_history_not_real_left_snapshot
2025-05-07,159937,黄金ETF,1,0.8049999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-07,510050,上证50ETF,2,0.64,reconstructed_candidate_history_not_real_left_snapshot
2025-05-07,512660,军工ETF,3,0.595,reconstructed_candidate_history_not_real_left_snapshot
2025-05-07,159928,消费ETF,4,0.5849999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-07,588000,科创50ETF,5,0.5750000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-08,512660,军工ETF,1,0.62,reconstructed_candidate_history_not_real_left_snapshot
2025-05-08,159937,黄金ETF,2,0.56,reconstructed_candidate_history_not_real_left_snapshot
2025-05-08,512480,半导体ETF,3,0.54,reconstructed_candidate_history_not_real_left_snapshot
2025-05-08,588000,科创50ETF,4,0.5250000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-08,159915,创业板ETF,5,0.515,reconstructed_candidate_history_not_real_left_snapshot
2025-05-09,159937,黄金ETF,1,0.5800000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-09,512660,军工ETF,2,0.5800000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-09,512100,中证1000ETF,3,0.5550000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-05-09,510300,沪深300ETF,4,0.51,reconstructed_candidate_history_not_real_left_snapshot
2025-05-09,510500,中证500ETF,5,0.47000000000000014,reconstructed_candidate_history_not_real_left_snapshot
2025-05-12,510300,沪深300ETF,1,0.605,reconstructed_candidate_history_not_real_left_snapshot
2025-05-12,512660,军工ETF,2,0.5800000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-12,512100,中证1000ETF,3,0.5400000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-12,159937,黄金ETF,4,0.53,reconstructed_candidate_history_not_real_left_snapshot
2025-05-12,512800,银行ETF,5,0.53,reconstructed_candidate_history_not_real_left_snapshot
2025-05-13,510300,沪深300ETF,1,0.635,reconstructed_candidate_history_not_real_left_snapshot
2025-05-13,512800,银行ETF,2,0.615,reconstructed_candidate_history_not_real_left_snapshot
2025-05-13,510050,上证50ETF,3,0.585,reconstructed_candidate_history_not_real_left_snapshot
2025-05-13,512100,中证1000ETF,4,0.5400000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-13,159915,创业板ETF,5,0.52,reconstructed_candidate_history_not_real_left_snapshot
2025-05-14,512800,银行ETF,1,0.665,reconstructed_candidate_history_not_real_left_snapshot
2025-05-14,510300,沪深300ETF,2,0.6549999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-14,510050,上证50ETF,3,0.635,reconstructed_candidate_history_not_real_left_snapshot
2025-05-14,159915,创业板ETF,4,0.5000000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-14,512100,中证1000ETF,5,0.465,reconstructed_candidate_history_not_real_left_snapshot
2025-05-15,510050,上证50ETF,1,0.69,reconstructed_candidate_history_not_real_left_snapshot
2025-05-15,512800,银行ETF,2,0.67,reconstructed_candidate_history_not_real_left_snapshot
2025-05-15,510300,沪深300ETF,3,0.63,reconstructed_candidate_history_not_real_left_snapshot
2025-05-15,512010,医药ETF,4,0.49,reconstructed_candidate_history_not_real_left_snapshot
2025-05-15,159996,家电ETF,5,0.46499999999999997,reconstructed_candidate_history_not_real_left_snapshot
2025-05-16,510050,上证50ETF,1,0.6499999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-16,510300,沪深300ETF,2,0.625,reconstructed_candidate_history_not_real_left_snapshot
2025-05-16,512800,银行ETF,3,0.6199999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-16,512010,医药ETF,4,0.545,reconstructed_candidate_history_not_real_left_snapshot
2025-05-16,159915,创业板ETF,5,0.48500000000000004,reconstructed_candidate_history_not_real_left_snapshot
2025-05-19,512100,中证1000ETF,1,0.595,reconstructed_candidate_history_not_real_left_snapshot
2025-05-19,510300,沪深300ETF,2,0.5499999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-19,512660,军工ETF,3,0.545,reconstructed_candidate_history_not_real_left_snapshot
2025-05-19,512010,医药ETF,4,0.54,reconstructed_candidate_history_not_real_left_snapshot
2025-05-19,510050,上证50ETF,5,0.535,reconstructed_candidate_history_not_real_left_snapshot
2025-05-20,159992,创新药ETF,1,0.605,reconstructed_candidate_history_not_real_left_snapshot
2025-05-20,512010,医药ETF,2,0.57,reconstructed_candidate_history_not_real_left_snapshot
2025-05-20,510300,沪深300ETF,3,0.5549999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-20,512800,银行ETF,4,0.5449999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-20,159996,家电ETF,5,0.53,reconstructed_candidate_history_not_real_left_snapshot
2025-05-21,159992,创新药ETF,1,0.6,reconstructed_candidate_history_not_real_left_snapshot
2025-05-21,510300,沪深300ETF,2,0.5850000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-21,512010,医药ETF,3,0.575,reconstructed_candidate_history_not_real_left_snapshot
2025-05-21,510050,上证50ETF,4,0.55,reconstructed_candidate_history_not_real_left_snapshot
2025-05-21,512800,银行ETF,5,0.5299999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-22,512800,银行ETF,1,0.6449999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-22,510050,上证50ETF,2,0.63,reconstructed_candidate_history_not_real_left_snapshot
2025-05-22,510300,沪深300ETF,3,0.63,reconstructed_candidate_history_not_real_left_snapshot
2025-05-22,159992,创新药ETF,4,0.5650000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-05-22,512010,医药ETF,5,0.54,reconstructed_candidate_history_not_real_left_snapshot
2025-05-23,510300,沪深300ETF,1,0.625,reconstructed_candidate_history_not_real_left_snapshot
2025-05-23,512010,医药ETF,2,0.615,reconstructed_candidate_history_not_real_left_snapshot
2025-05-23,510050,上证50ETF,3,0.61,reconstructed_candidate_history_not_real_left_snapshot
2025-05-23,159992,创新药ETF,4,0.5900000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-23,512800,银行ETF,5,0.5799999999999998,reconstructed_candidate_history_not_real_left_snapshot
2025-05-26,159992,创新药ETF,1,0.665,reconstructed_candidate_history_not_real_left_snapshot
2025-05-26,512800,银行ETF,2,0.6649999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-26,510050,上证50ETF,3,0.615,reconstructed_candidate_history_not_real_left_snapshot
2025-05-26,510300,沪深300ETF,4,0.61,reconstructed_candidate_history_not_real_left_snapshot
2025-05-26,512010,医药ETF,5,0.585,reconstructed_candidate_history_not_real_left_snapshot
2025-05-27,159992,创新药ETF,1,0.665,reconstructed_candidate_history_not_real_left_snapshot
2025-05-27,512010,医药ETF,2,0.625,reconstructed_candidate_history_not_real_left_snapshot
2025-05-27,510300,沪深300ETF,3,0.61,reconstructed_candidate_history_not_real_left_snapshot
2025-05-27,512800,银行ETF,4,0.6049999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-27,510050,上证50ETF,5,0.595,reconstructed_candidate_history_not_real_left_snapshot
2025-05-28,159992,创新药ETF,1,0.665,reconstructed_candidate_history_not_real_left_snapshot
2025-05-28,512800,银行ETF,2,0.6649999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-28,512010,医药ETF,3,0.645,reconstructed_candidate_history_not_real_left_snapshot
2025-05-28,510050,上证50ETF,4,0.635,reconstructed_candidate_history_not_real_left_snapshot
2025-05-28,510300,沪深300ETF,5,0.63,reconstructed_candidate_history_not_real_left_snapshot
2025-05-29,512010,医药ETF,1,0.675,reconstructed_candidate_history_not_real_left_snapshot
2025-05-29,159992,创新药ETF,2,0.6600000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-29,512660,军工ETF,3,0.6100000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-29,510300,沪深300ETF,4,0.6,reconstructed_candidate_history_not_real_left_snapshot
2025-05-29,510050,上证50ETF,5,0.55,reconstructed_candidate_history_not_real_left_snapshot
2025-05-30,512010,医药ETF,1,0.675,reconstructed_candidate_history_not_real_left_snapshot
2025-05-30,159992,创新药ETF,2,0.6600000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-30,512800,银行ETF,3,0.63,reconstructed_candidate_history_not_real_left_snapshot
2025-05-30,510300,沪深300ETF,4,0.62,reconstructed_candidate_history_not_real_left_snapshot
2025-05-30,512660,军工ETF,5,0.6100000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-06-03,512800,银行ETF,1,0.695,reconstructed_candidate_history_not_real_left_snapshot
2025-06-03,159992,创新药ETF,2,0.6600000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-06-03,512010,医药ETF,3,0.66,reconstructed_candidate_history_not_real_left_snapshot
